"","coef","se","pval","country","formula","capital","dgvm","iso3"
"log(temp + 1)31",-0.040850888929157,0.0122138701181245,0.00100690818865874,"AR","log","nN","all","ARG"
"temp24",-0.0114010977049503,0.00616943555690989,0.0682081891665791,"AR","lin","mN","lpj","ARG"
"temp25",-0.0129827029719967,0.0061582802342456,0.0380691958268359,"AR","lin","nN","lpj","ARG"
"temp26",-0.0386722206275688,0.00565444238671947,9.22775644621679e-07,"AR","lin","mN","orc","ARG"
"temp27",-0.0387898473955439,0.00583178402521941,1.38742251247508e-06,"AR","lin","nN","orc","ARG"
"temp28",-0.00402668504354933,0.005902081971239,0.498169088239631,"AR","lin","mN","car","ARG"
"temp29",-0.00405682160239907,0.00673715231644433,0.54973773404419,"AR","lin","nN","car","ARG"
"temp30",-0.0149318157647155,0.0046341073403151,0.00151596051932954,"AR","lin","mN","all","ARG"
"temp31",-0.0163435907521479,0.00471299972539133,0.000659668063338795,"AR","lin","nN","all","ARG"
"I(temp^2)32",-0.00512016296166259,0.00153876769520784,0.00131377468241288,"AT","sq","mN","lpj","AUT"
"I(temp^2)33",-0.0086530038294992,0.00123114363103386,5.65020301372551e-10,"AT","sq","nN","lpj","AUT"
"I(temp^2)34",-0.0131930019022986,0.0275305828583192,0.636739899887408,"AT","sq","mN","orc","AUT"
"I(temp^2)35",-0.00740743349850679,0.0241006661778756,0.761601335915119,"AT","sq","nN","orc","AUT"
"I(temp^2)36",-0.0236116224167021,0.00339807211619104,6.56324020802273e-09,"AT","sq","mN","car","AUT"
"I(temp^2)37",-0.0243559062047509,0.00342123627247044,3.53006541304912e-09,"AT","sq","nN","car","AUT"
"I(temp^2)38",-0.00401554907362603,0.00219007824433591,0.0684145943464033,"AT","sq","mN","all","AUT"
"I(temp^2)39",-0.0073779361627625,0.00224393813227814,0.00121860042145083,"AT","sq","nN","all","AUT"
"log(temp + 1)32",0.0298782230128278,0.0202728190152512,0.144362276203955,"AT","log","mN","lpj","AUT"
"log(temp + 1)33",-0.0221327418930624,0.0198893284708837,0.269048170539814,"AT","log","nN","lpj","AUT"
"log(temp + 1)34",0.126383861178955,0.143256335810857,0.3876440377986,"AT","log","mN","orc","AUT"
"log(temp + 1)35",0.127432268903863,0.123476965401416,0.313796806259311,"AT","log","nN","orc","AUT"
"log(temp + 1)36",-0.101003313431102,0.0275095400484027,0.000577553837867944,"AT","log","mN","car","AUT"
"log(temp + 1)37",-0.105047811655874,0.0278950467546641,0.000430892895915041,"AT","log","nN","car","AUT"
"log(temp + 1)38",0.03261893794978,0.0250911108604802,0.195294182910396,"AT","log","mN","all","AUT"
"log(temp + 1)39",-0.00778578421286572,0.0254954165881838,0.760437800592525,"AT","log","nN","all","AUT"
"temp32",-0.00540278952257098,0.00747235351340526,0.471714382395943,"AT","lin","mN","lpj","AUT"
"temp33",-0.0245864885330751,0.00669331855220338,0.000425571522987797,"AT","lin","nN","lpj","AUT"
"temp34",0.0211340508912186,0.0717211045511094,0.771139329381951,"AT","lin","mN","orc","AUT"
"temp35",0.0284694018910118,0.0621821609526716,0.651770288655122,"AT","lin","nN","orc","AUT"
"temp36",-0.0575100114330177,0.0115217358404806,7.3669136803147e-06,"AT","lin","mN","car","AUT"
"temp37",-0.0595811145114693,0.0116460358223121,4.7717966157201e-06,"AT","lin","nN","car","AUT"
"temp38",-0.00178660881764877,0.00960776457018153,0.852694445472552,"AT","lin","mN","all","AUT"
"temp39",-0.0177647431380135,0.00978451486668314,0.0711341043408151,"AT","lin","nN","all","AUT"
"I(temp^2)40",-0.0002114406973166,0.00356479656356655,0.952846691704818,"AU","sq","mN","lpj","AUS"
"I(temp^2)41",0.00298943317669747,0.00382440190410693,0.436657728723573,"AU","sq","nN","lpj","AUS"
"I(temp^2)42",0.0025671941325286,0.00595712368012469,0.670899327020829,"AU","sq","mN","orc","AUS"
"I(temp^2)43",0.0109909222209222,0.00806375058038169,0.187318710899764,"AU","sq","nN","orc","AUS"
"I(temp^2)44",0.00343728117410207,0.00596885100028257,0.567235769546406,"AU","sq","mN","car","AUS"
"I(temp^2)45",0.00337913040636216,0.00741795297039958,0.65065867072721,"AU","sq","nN","car","AUS"
"I(temp^2)46",-0.0022140047471928,0.00252633015877301,0.382022457053544,"AU","sq","mN","all","AUS"
"I(temp^2)47",0.00106752576086807,0.00277297118098197,0.700720445599646,"AU","sq","nN","all","AUS"
"log(temp + 1)40",-0.00120142178639587,0.0459922142094097,0.979223268914654,"AU","log","mN","lpj","AUS"
"log(temp + 1)41",0.0393552724004006,0.0491493438084621,0.425602887907474,"AU","log","nN","lpj","AUS"
"log(temp + 1)42",-0.0214718959687308,0.0306817938857444,0.491716813831432,"AU","log","mN","orc","AUS"
"log(temp + 1)43",-0.00307199786677106,0.0442646244332704,0.945327254526726,"AU","log","nN","orc","AUS"
"log(temp + 1)44",0.0168794941566879,0.0390540550197693,0.667411899521493,"AU","log","mN","car","AUS"
"log(temp + 1)45",0.00199686307393774,0.0486342526201425,0.967409356026407,"AU","log","nN","car","AUS"
"log(temp + 1)46",-0.00709473798290425,0.0277525744764943,0.79852540770139,"AU","log","mN","all","AUS"
"log(temp + 1)47",0.0203979690488657,0.0301516230264291,0.499603011639808,"AU","log","nN","all","AUS"
"temp40",0.00161320679891394,0.0165469279789938,0.92257293635027,"AU","lin","mN","lpj","AUS"
"temp41",0.0175323576194353,0.017673586120133,0.324111398256307,"AU","lin","nN","lpj","AUS"
"temp42",-0.00404814722301005,0.0153904078868476,0.795090470590788,"AU","lin","mN","orc","AUS"
"temp43",0.0111657704759714,0.0216895861543741,0.61206983694531,"AU","lin","nN","orc","AUS"
"temp44",0.0102633226478802,0.0177107127317496,0.564804385957283,"AU","lin","mN","car","AUS"
"temp45",0.00634055616661129,0.0220566731404797,0.774919962225341,"AU","lin","nN","car","AUS"
"temp46",-0.00412096991059033,0.0107886013189812,0.702941132165949,"AU","lin","mN","all","AUS"
"temp47",0.00923532898761232,0.0117402111613016,0.432550094087103,"AU","lin","nN","all","AUS"
"I(temp^2)48",0.0198954069810492,0.00288249564507623,9.92475333405938e-10,"AZ","sq","mN","lpj","AZE"
"I(temp^2)49",-0.0046132786421884,0.00307039931739268,0.136809171782051,"AZ","sq","nN","lpj","AZE"
"I(temp^2)50",0.000256910041747053,0.00395043430359659,0.948762553201218,"AZ","sq","mN","orc","AZE"
"I(temp^2)51",0.00138366857755946,0.00336341299181902,0.684956101998407,"AZ","sq","nN","orc","AZE"
"I(temp^2)52",-0.0150037076115797,0.00383699433763899,0.000273236953999459,"AZ","sq","mN","car","AZE"
"I(temp^2)53",-0.0160871857605971,0.0067762970334324,0.0213973430962747,"AZ","sq","nN","car","AZE"
"I(temp^2)54",0.0211094875061824,0.00272515073232215,7.20102826912464e-13,"AZ","sq","mN","all","AZE"
"I(temp^2)55",-0.00433699857290604,0.00243106664841786,0.0761482291317263,"AZ","sq","nN","all","AZE"
