year,countrycode,intensity
2238,ABW,2.2096394879080797e-8
2239,ABW,2.2096394879080797e-8
2240,ABW,2.2096394879080797e-8
2241,ABW,2.2096394879080797e-8
2242,ABW,2.2096394879080797e-8
2243,ABW,2.2096394879080797e-8
2244,ABW,2.2096394879080797e-8
2245,ABW,2.2096394879080797e-8
2246,ABW,2.2096394879080797e-8
2247,ABW,2.2096394879080797e-8
2248,ABW,2.2096394879080797e-8
2249,ABW,2.2096394879080797e-8
2250,ABW,2.2096394879080797e-8
2251,ABW,2.2096394879080797e-8
2252,ABW,2.2096394879080797e-8
2253,ABW,2.2096394879080797e-8
2254,ABW,2.2096394879080797e-8
2255,ABW,2.2096394879080797e-8
2256,ABW,2.2096394879080797e-8
2257,ABW,2.2096394879080797e-8
2258,ABW,2.2096394879080797e-8
2259,ABW,2.2096394879080797e-8
2260,ABW,2.2096394879080797e-8
2261,ABW,2.2096394879080797e-8
2262,ABW,2.2096394879080797e-8
2263,ABW,2.2096394879080797e-8
2264,ABW,2.2096394879080797e-8
2265,ABW,2.2096394879080797e-8
2266,ABW,2.2096394879080797e-8
2267,ABW,2.2096394879080797e-8
2268,ABW,2.2096394879080797e-8
2269,ABW,2.2096394879080797e-8
2270,ABW,2.2096394879080797e-8
2271,ABW,2.2096394879080797e-8
2272,ABW,2.2096394879080797e-8
2273,ABW,2.2096394879080797e-8
2274,ABW,2.2096394879080797e-8
2275,ABW,2.2096394879080797e-8
2276,ABW,2.2096394879080797e-8
2277,ABW,2.2096394879080797e-8
2278,ABW,2.2096394879080797e-8
2279,ABW,2.2096394879080797e-8
2280,ABW,2.2096394879080797e-8
2281,ABW,2.2096394879080797e-8
2282,ABW,2.2096394879080797e-8
2283,ABW,2.2096394879080797e-8
2284,ABW,2.2096394879080797e-8
2285,ABW,2.2096394879080797e-8
2286,ABW,2.2096394879080797e-8
2287,ABW,2.2096394879080797e-8
2288,ABW,2.2096394879080797e-8
2289,ABW,2.2096394879080797e-8
2290,ABW,2.2096394879080797e-8
