"countrycode","coef","se","pval"
"TKM",0.0109304978725548,0.0077345932347827,0.159364156222687
"TLS",-0.00613233650346273,0.00557939399527496,0.273223733754098
"TON",-0.00613233650346273,0.00557939399527496,0.273223733754098
"TUN",-0.088326790607636,0.0212656791134365,5.09845057492065e-5
"TUR",0.0290231829672513,0.00731588876578359,0.000105735716764264
"TWN",-0.0380017352058345,0.00636059854241026,1.24837866865942e-8
"TZA",-0.07378788622437,0.00939517096028012,3.82091450182395e-13
"UGA",-0.0830216748442315,0.0128692897822368,1.03776444163609e-9
"UKR",-0.00433134970248204,0.0120901575021018,0.720582415551452
"URY",0.0085381876080938,0.0102735776694207,0.407053239789652
"USA",0.0111776761598512,0.00358634555394408,0.00213614439952465
"UZB",0.0109304978725548,0.0077345932347827,0.159364156222687
"VCT",-0.00613233650346273,0.00557939399527496,0.273223733754098
"VNM",-0.00387186883598473,0.00617798344828495,0.53165454654782
"VUT",-0.00613233650346273,0.00557939399527496,0.273223733754098
"WSM",-0.00613233650346273,0.00557939399527496,0.273223733754098
"YEM",0.192214536395284,0.0519549131386913,0.000288435552282879
"ZAF",-0.0735338858697938,0.00789758863208097,5.1058318709055e-17
"ZMB",-0.0899759937713778,0.00964359873728927,4.52333919350085e-17
"ZWE",-0.0160530540470955,0.0136386271307107,0.24077343250939
